employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
27171,Analytics,region_22,Bachelor's,m,other,3,28,3,5,0,0,85,1
72847,Technology,region_2,Master's & above,f,other,2,45,3,7,0,0,81,0
48108,Procurement,region_2,Bachelor's,f,sourcing,1,58,4,25,1,0,67,1
57102,Technology,region_13,Bachelor's,f,other,1,22,3,3,1,0,83,1
170,Sales & Marketing,region_31,Bachelor's,m,other,1,29,3,6,1,0,94,1
40086,Sales & Marketing,region_4,Master's & above,m,other,1,35,5,10,1,0,47,1
59012,Procurement,region_7,Master's & above,m,other,1,38,5,12,0,0,92,1
32554,Procurement,region_17,Master's & above,f,other,1,38,3,9,1,0,74,1
73323,Sales & Marketing,region_5,Bachelor's,f,other,1,27,5,6,0,0,53,0
43300,Sales & Marketing,region_22,Bachelor's,m,other,1,38,2,5,0,0,50,0
15411,Analytics,region_22,Bachelor's,m,sourcing,2,29,5,5,0,0,84,1
33994,R&D,region_22,Master's & above,m,sourcing,1,34,5,5,1,0,86,0
55207,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,5,9,1,0,46,1
19736,Technology,region_2,Master's & above,m,sourcing,1,33,3,9,0,0,82,0
73327,Technology,region_13,Master's & above,m,other,1,37,4,3,1,0,76,1
42060,HR,region_32,Bachelor's,f,sourcing,1,34,5,8,1,0,52,0
20196,HR,region_2,Below Secondary,f,other,1,22,2,2,0,0,54,0
12538,Operations,region_14,Bachelor's,m,other,1,35,5,10,1,0,59,1
2095,Sales & Marketing,region_2,Bachelor's,m,other,1,32,4,3,1,0,89,1
6330,Operations,region_13,Master's & above,f,sourcing,2,35,5,2,1,0,56,1
15744,Sales & Marketing,region_22,Bachelor's,m,referred,1,30,3,4,1,0,49,0
2950,Finance,region_7,Bachelor's,f,sourcing,1,29,5,6,1,0,90,1
507,Procurement,region_11,Master's & above,m,sourcing,1,39,5,3,1,0,69,0
49269,Analytics,region_23,Bachelor's,m,other,2,37,3,10,1,0,81,1
33271,Finance,region_2,Bachelor's,m,sourcing,4,39,3,12,0,0,58,0
12408,Finance,region_7,Bachelor's,m,other,1,31,5,3,1,0,57,1
69950,Technology,region_2,Bachelor's,m,sourcing,2,33,5,6,1,0,76,0
75611,Operations,region_14,Bachelor's,m,other,1,38,5,4,1,0,60,1
36638,Technology,region_22,Bachelor's,m,other,3,28,2,3,1,0,80,1
46560,Procurement,region_23,Bachelor's,m,other,1,29,5,3,0,0,86,1
68801,Finance,region_31,Master's & above,f,other,1,33,3,7,1,1,58,1
55139,Technology,region_31,Master's & above,f,other,1,40,3,9,0,0,78,0
72925,Sales & Marketing,region_13,Bachelor's,f,sourcing,1,39,4,7,1,0,51,1
45788,Sales & Marketing,region_7,Master's & above,m,sourcing,1,32,5,7,1,0,49,0
18245,Technology,region_11,Master's & above,f,sourcing,1,37,3,10,1,0,81,0
49881,Sales & Marketing,region_2,Master's & above,m,other,6,43,1,3,0,0,47,0
38063,Operations,region_8,Bachelor's,m,sourcing,1,26,4,4,0,0,55,0
25560,R&D,region_4,Master's & above,f,sourcing,1,35,5,3,1,0,84,1
55283,HR,region_2,Master's & above,f,other,1,33,3,5,0,0,48,0
33133,Operations,region_13,Master's & above,m,sourcing,1,31,2,6,0,0,58,0
31447,Sales & Marketing,region_27,Bachelor's,f,sourcing,1,26,5,2,1,0,48,1
51663,Operations,region_22,Master's & above,m,other,1,56,3,21,0,0,63,0
8084,Sales & Marketing,region_31,Bachelor's,f,other,1,26,5,5,0,0,52,0
68537,Sales & Marketing,region_2,Bachelor's,f,other,1,54,3,6,0,0,51,0
13024,Operations,region_2,Master's & above,f,sourcing,1,48,3,7,1,0,58,1
47249,Operations,region_14,Master's & above,m,other,1,44,3,16,1,0,62,0
77220,Operations,region_13,Bachelor's,m,other,1,34,3,3,1,0,53,0
74985,Technology,region_7,Bachelor's,f,other,1,28,5,3,0,0,92,1
6483,Procurement,region_11,Bachelor's,f,sourcing,1,32,1,8,0,0,66,0
13835,Sales & Marketing,region_16,Bachelor's,m,other,2,31,4,6,0,0,47,0
55587,Technology,region_17,Bachelor's,f,other,1,30,5,4,1,0,76,1
8384,HR,region_20,Master's & above,f,other,1,35,3,5,0,0,51,0
32693,Operations,region_16,Master's & above,f,sourcing,1,41,5,16,1,0,58,0
32773,Sales & Marketing,region_31,Bachelor's,m,sourcing,1,45,4,6,1,0,52,0
29401,Operations,region_23,Bachelor's,f,other,1,35,5,6,1,0,55,0
71201,Procurement,region_23,Master's & above,m,other,1,35,3,6,0,0,75,0
46536,Analytics,region_28,Bachelor's,m,other,1,31,5,2,1,0,84,0
67086,Procurement,region_27,Bachelor's,m,sourcing,3,24,3,2,1,0,71,1
74227,Sales & Marketing,region_10,Master's & above,m,sourcing,1,33,3,7,0,0,51,0
58297,Analytics,region_2,Master's & above,m,other,1,38,5,9,0,0,82,0
23586,Technology,region_27,Bachelor's,f,other,2,31,2,4,1,0,76,0
61841,Technology,region_17,Bachelor's,m,other,1,32,3,4,1,0,77,1
25785,Sales & Marketing,region_25,Bachelor's,m,other,1,25,3,2,1,0,49,1
25877,Procurement,region_22,Master's & above,m,other,1,31,5,5,1,0,67,1
74761,Sales & Marketing,region_25,Master's & above,m,sourcing,1,34,3,4,1,0,48,1
64952,Analytics,region_7,Master's & above,m,other,2,35,5,9,1,0,83,0
69286,Finance,region_31,Bachelor's,m,sourcing,1,27,3,4,1,0,58,1
14917,Operations,region_31,Master's & above,m,other,1,38,3,9,0,0,62,0
8163,Operations,region_27,Bachelor's,f,sourcing,2,36,1,4,1,1,63,1
34648,Analytics,region_8,Master's & above,m,sourcing,1,31,5,5,0,0,85,1
78292,Operations,region_2,Master's & above,m,sourcing,1,59,2,16,1,0,57,1
35350,Analytics,region_28,Bachelor's,m,sourcing,1,36,3,8,0,0,85,0
29110,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,27,3,3,0,0,44,0
57815,Procurement,region_10,Master's & above,m,other,1,38,1,10,0,0,68,0
76640,Operations,region_28,Bachelor's,m,sourcing,1,29,5,2,1,0,59,0
48574,HR,region_22,Master's & above,m,other,1,52,5,7,1,0,49,0
9995,Sales & Marketing,region_25,Bachelor's,m,other,1,26,3,4,1,0,50,1
